Identifier,Filtered,Date,Site,Sampling,TN_ug_l,TP_ug_l
256663,F,2022-07-21,5,7,667.17,11.015
257642,UF,2022-07-28,5,8,705.491,24.325
257643,F,2022-07-28,5,8,491.007,2.605
259472,UF,2022-08-11,5,9,743.736,24.676
259473,F,2022-08-11,5,9,448.085,6.436
262902,UF,2022-08-18,5,10,659.275,20.391
262903,F,2022-08-18,5,10,492.539,6.761
265822,UF,2022-09-09,5,11,592.838,23.217
265823,F,2022-09-09,5,11,397.339,11.347
266312,UF,2022-09-23,5,12,598.538,26.19
266313,F,2022-09-23,5,12,316.111,3.756
266622,UF,2022-10-21,5,13,581.897,23.23
266623,F,2022-10-21,5,13,427.471,10.882
267972,UF,2022-10-28,5,14,605.208,19.818
267973,F,2022-10-28,5,14,353.631,3.738
269142,UF,2023-01-23,5,15,414.438,9.128
269143,F,2023-01-23,5,15,410.192,4.766
269222,UF,2023-02-10,5,16,653.15,12.021
269223,F,2023-02-10,5,16,584.758,5.596
269912,UF,2023-02-17,5,17,755.87,36.142
269913,F,2023-02-17,5,17,518.471,8.837
270272,UF,2023-03-23,5,18,793.733,22.584
270273,F,2023-03-23,5,18,449.173,5.954
270352,UF,2023-04-07,5,19,789.77,32.076
270353,F,2023-04-07,5,19,539.664,8.762
270842,UF,2023-04-27,5,20,684.143,35.491
270843,F,2023-04-27,5,20,460.299,12.306
271232,UF,2023-05-04,5,21,529.909,18.375
271233,F,2023-05-04,5,21,435.224,3.467
271672,UF,2023-05-17,5,22,564.681,31.411
271673,F,2023-05-17,5,22,371.626,5.258
250012,UF,2022-06-01,6,1,828.619,46.369
250013,F,2022-06-01,6,1,652.631,23.972
251812,UF,2022-06-13,6,2,719.471,29.424
251813,F,2022-06-13,6,2,555.468,12.363
251892,UF,2022-06-20,6,3,702.592,35.077
251893,F,2022-06-20,6,3,543.982,12.934
251972,UF,2022-06-28,6,4,878.9,38.772
251973,F,2022-06-28,6,4,602.529,8.965
252052,UF,2022-07-07,6,5,632.504,23.812
252053,F,2022-07-07,6,5,517.807,10.132
253382,UF,2022-07-13,6,6,922.389,46.194
253383,F,2022-07-13,6,6,536.707,10.045
256672,UF,2022-07-21,6,7,1257.908,25.941
256673,F,2022-07-21,6,7,550.96,7.95
257652,UF,2022-07-28,6,8,693.297,21.128
257653,F,2022-07-28,6,8,529.844,3.718
259482,UF,2022-08-11,6,9,706.702,25.751
259483,F,2022-08-11,6,9,551.197,4.121
262912,UF,2022-08-18,6,10,692.17,28.439
262913,F,2022-08-18,6,10,533.497,7.955
265832,UF,2022-09-09,6,11,621.363,31.595
265833,F,2022-09-09,6,11,424.026,10.998
266322,UF,2022-09-23,6,12,693.07,11.566
266323,F,2022-09-23,6,12,370.841,1.463
266632,UF,2022-10-21,6,13,578.064,27.705
266633,F,2022-10-21,6,13,450.833,9.666
267982,UF,2022-10-28,6,14,594.698,26.458
267983,F,2022-10-28,6,14,365.438,3.036
269152,UF,2023-01-23,6,15,549.72,15.724
269153,F,2023-01-23,6,15,455.51,7.443
269232,UF,2023-02-10,6,16,536.73,17.851
269233,F,2023-02-10,6,16,428.057,6.139
269922,UF,2023-02-17,6,17,494.962,18.862
269923,F,2023-02-17,6,17,401.355,6.245
270282,UF,2023-03-23,6,18,602.532,15.999
270283,F,2023-03-23,6,18,442.623,1.686
270362,UF,2023-04-07,6,19,735.668,32.42
270363,F,2023-04-07,6,19,627.179,11.579
270852,UF,2023-04-27,6,20,591.658,20.696
270853,F,2023-04-27,6,20,486.166,10.045
271242,UF,2023-05-04,6,21,513.314,19.489
271243,F,2023-05-04,6,21,355.62,3.08
271682,UF,2023-05-17,6,22,606.709,29.45
271683,F,2023-05-17,6,22,385.122,5.523
250022,UF,2022-06-01,7,1,989.305,57.169
250023,F,2022-06-01,7,1,605.667,19.296
251822,UF,2022-06-13,7,2,810.166,41.669
251823,F,2022-06-13,7,2,550.268,14.527
251902,UF,2022-06-20,7,3,685.221,33.823
251903,F,2022-06-20,7,3,582.965,14.993
251982,UF,2022-06-28,7,4,787.19,34.763
251983,F,2022-06-28,7,4,515.969,10.352
252062,UF,2022-07-07,7,5,698.998,28.002
252063,F,2022-07-07,7,5,544.952,11.508
253392,UF,2022-07-13,7,6,701.242,25.19
253393,F,2022-07-13,7,6,488.342,10.59
256682,UF,2022-07-21,7,7,691.329,21.686
256683,F,2022-07-21,7,7,570.39,6.157
257662,UF,2022-07-28,7,8,1547.7,35.949
257663,F,2022-07-28,7,8,490.71,3.437
259492,UF,2022-08-11,7,9,689.168,25.222
259493,F,2022-08-11,7,9,525.742,5.225
262922,UF,2022-08-18,7,10,633.357,19.131
262923,F,2022-08-18,7,10,541.533,5.667
265842,UF,2022-09-09,7,11,611.561,27.079
265843,F,2022-09-09,7,11,451.838,11.868
266332,UF,2022-09-23,7,12,660.313,25.609
266333,F,2022-09-23,7,12,372.537,1.415
266642,UF,2022-10-21,7,13,573.937,25.994
266643,F,2022-10-21,7,13,464.563,9.555
267992,UF,2022-10-28,7,14,701.956,34.319
267993,F,2022-10-28,7,14,434.446,4.762
269162,UF,2023-01-23,7,15,658.942,24.775
269163,F,2023-01-23,7,15,464.254,6.231
269242,UF,2023-02-10,7,16,650.142,22.843
269243,F,2023-02-10,7,16,472.29,6.509
269932,UF,2023-02-17,7,17,552.755,21.261
269933,F,2023-02-17,7,17,409.965,3.12
270292,UF,2023-03-23,7,18,710.683,25.849
270293,F,2023-03-23,7,18,584.31,3.427
270372,UF,2023-04-07,7,19,858.943,50.649
270373,F,2023-04-07,7,19,496.575,9.425
270862,UF,2023-04-27,7,20,609.742,21.58
270863,F,2023-04-27,7,20,506.242,10.403
271252,UF,2023-05-04,7,21,489.415,15.265
271253,F,2023-05-04,7,21,394.767,2.588
271692,UF,2023-05-17,7,22,631.951,26.205
271693,F,2023-05-17,7,22,395.759,6.339
250032,UF,2022-06-01,8,1,759.359,37.797
250033,F,2022-06-01,8,1,554.935,16.648
251832,UF,2022-06-13,8,2,937.186,49.617
251833,F,2022-06-13,8,2,635.391,12.885
251912,UF,2022-06-20,8,3,728.561,30.07
251913,F,2022-06-20,8,3,608.174,19.847
251992,UF,2022-06-28,8,4,789.377,38.781
251993,F,2022-06-28,8,4,559.436,9.262
252072,UF,2022-07-07,8,5,758.522,30.682
252073,F,2022-07-07,8,5,524.386,10.277
253402,UF,2022-07-13,8,6,707.1,30.341
253403,F,2022-07-13,8,6,587.006,14
256692,UF,2022-07-21,8,7,725.007,10.674
256693,F,2022-07-21,8,7,690.81,10.325
257672,UF,2022-07-28,8,8,772.559,25.047
