sampledate,Site,Depth,Temp_C,DO_perc,DO_mgL,Conductivity,pH,Chlorophyll
2022-06-20,3,0,23.4,132.5,11.25,746,8.42,6.67
2022-06-20,3,0.5,23.3,133.7,11.41,749,8.37,9.19
2022-06-20,3,0.75,23.1,111.4,9.51,874,8,6.61
2022-06-20,4,0,23.5,159.3,13.52,724,8.82,3.05
2022-06-20,4,0.5,23.2,154.4,13.16,724,8.74,4.67
2022-06-20,5,0,24.5,124.8,10.38,758,8.68,4.39
2022-06-20,5,0.5,24.5,126.3,10.57,758,8.67,5.17
2022-06-20,5,0.75,24.5,126.3,10.51,758,8.67,5.74
2022-06-20,5,1,24.5,126.5,10.54,757,8.67,7.34
2022-06-20,5,1.25,24.5,126.8,10.56,757,8.66,7.51
2022-06-20,5,1.5,24.4,125.6,10.5,755,8.65,9.6
2022-06-20,5,1.75,24.1,122.3,10.25,754,8.63,9.6
2022-06-20,5,2,24.1,120.6,10.11,755,8.61,10.18
2022-06-20,5,2.25,24,117,9.82,756,8.6,10.06
2022-06-20,5,2.5,23.9,104.2,8.76,760,8.53,10.82
2022-06-20,6,0,25.8,190.8,15.53,727,9,2.46
2022-06-20,6,0.5,25.6,201.3,16.45,723,9.04,2.74
2022-06-20,6,0.75,24.3,213.4,17.79,706,9.2,1.46
2022-06-20,6,1,23.7,184.3,15.57,701,9.1,1.57
2022-06-20,6,1.25,23.5,162.6,13.76,703,9.02,1.82
2022-06-20,6,1.5,23.3,125.7,10.7,722,8.7,6.58
2022-06-20,7,0,26.1,183.1,14.81,719,8.96,1.8
2022-06-20,7,0.5,25.6,202.1,16.51,710,9.02,2.28
2022-06-20,7,0.75,24.9,212.7,17.6,706,9.07,4.03
2022-06-20,7,1,24.5,197.2,16.41,709,8.96,3.15
2022-06-20,8,0,26.2,162.3,13.15,742,8.83,1.85
2022-06-20,8,0.5,26,166.7,13.57,742,8.84,2.24
2022-06-20,8,0.75,25.1,170.7,14.08,734,8.94,1.91
2022-06-23,1,0,25.9,130.5,10.58,753,8.68,5.4
2022-06-23,1,0.5,25.9,130.7,10.6,753,8.69,6.29
2022-06-23,1,0.75,25.9,131.2,10.65,753,8.69,7.22
2022-06-23,1,1,25.9,132.2,10.74,753,8.69,9.51
2022-06-23,1,1.25,25.8,134.1,10.89,753,8.7,10.21
2022-06-23,1,1.5,25.8,134.5,10.95,753,8.7,10.92
2022-06-23,1,1.75,25.8,134.8,10.97,752,8.7,11.23
2022-06-23,1,2,25.7,133.3,10.84,752,8.69,12.3
2022-06-23,1,2.25,25.7,132.3,10.76,751,8.68,13.71
2022-06-23,1,2.5,25.6,130.2,10.62,753,8.66,13.24
2022-06-23,1,2.75,24.9,97.9,8.09,763,8.33,14.24
2022-06-23,1,3,24.2,74.3,6.21,790,7.99,16.3
2022-06-23,1,3.25,23.9,67.1,5.64,808,7.86,18.31
2022-06-23,1,3.5,23.6,40.2,3.41,834,7.63,36.46
2022-06-23,2,0,25.6,146.9,11.97,740,8.75,4.36
2022-06-23,2,0.5,25,148,12.25,740,8.71,6.82
2022-06-23,3,0,25.9,144.4,11.7,774,8.66,4.45
2022-06-23,3,0.5,25.8,137.5,11.2,826,8.34,3.2
2022-06-23,3,0.75,24.7,138,11.44,940,8.01,3.02
2022-06-23,3,1,24.4,142.6,11.92,1067,7.85,2.25
2022-06-23,4,0,26.1,143.4,11.58,750,8.74,5.11
2022-06-23,4,0.5,25.7,150.8,12.3,749,8.78,5.49
2022-06-23,4,0.75,25.3,166,13.88,741,8.9,5.99
2022-06-23,5,0,26.9,140.3,11.18,744,8.73,6.55
2022-06-23,5,0.5,26.6,140.7,11.28,743,8.73,7.07
2022-06-23,5,0.75,26.3,138.5,11.15,745,8.72,8.33
2022-06-23,5,1,26.2,137,11.05,747,8.71,9.55
2022-06-23,5,1.25,26.2,136.5,11.03,747,8.7,10.1
2022-06-23,5,1.5,26.1,135.8,10.98,748,8.7,10.62
2022-06-23,5,1.75,26.1,135,10.91,748,8.69,11.07
2022-06-23,5,2,26,131,10.62,749,8.67,11.53
2022-06-23,5,2.25,26,125.5,10.17,753,8.62,11.64
2022-06-23,5,2.5,25.8,106.4,8.67,758,8.49,12.78
2022-06-23,6,0,27.3,172.4,13.65,700,9.06,1.47
2022-06-23,6,0.5,27,173,13.76,702,9.03,1.67
2022-06-23,6,0.75,26.9,174.5,13.91,702,9.04,2.22
2022-06-23,6,1,26.8,176.9,14.11,701,9.05,2.86
2022-06-23,6,1.25,26.5,178,14.31,697,9.07,2.83
2022-06-23,6,1.5,26.3,164.1,13.24,696,9.04,4.09
2022-06-23,6,1.75,25.9,127.9,10.35,703,8.82,2.84
2022-06-23,7,0,27.1,158.6,12.59,724,8.9,3.77
2022-06-23,7,0.5,27,160.3,12.8,726,8.89,4.8
2022-06-23,7,0.75,26.5,169.4,13.59,725,8.92,5.27
2022-06-23,7,1,26.4,174.3,14.01,723,8.94,5.93
2022-06-23,7,1.25,26.3,169.3,13.62,724,8.92,7.19
2022-06-23,8,0,27.9,151.7,11.89,738,8.86,3.41
2022-06-23,8,0.5,27.4,166.3,13.16,737,8.85,5.03
2022-06-23,8,0.75,26.5,177.4,14.27,727,8.89,5.62
2022-06-23,8,1.5,23.6,138.7,11.74,719,8.91,6.69
2022-06-28,1,0,24.9,115.3,9.54,749,8.66,9.28
2022-06-28,1,0.5,24.8,116.2,9.61,748,8.65,9.87
2022-06-28,1,0.75,24.8,116.5,9.64,749,8.65,10.52
2022-06-28,1,1,24.8,116.3,9.63,749,8.64,11.7
2022-06-28,1,1.25,24.8,116.7,9.65,749,8.64,11.72
2022-06-28,1,1.5,24.8,116.6,9.65,749,8.64,11.6
2022-06-28,1,1.75,24.8,116.5,9.64,748,8.64,11.45
2022-06-28,1,2,24.8,116.6,9.65,748,8.64,11.43
2022-06-28,1,2.25,24.8,116.5,9.64,748,8.64,11.47
2022-06-28,1,2.5,24.8,116.6,9.65,748,8.64,11.6
2022-06-28,1,2.75,24.8,116.5,9.64,748,8.64,12.15
2022-06-28,1,3,24.7,116.2,9.63,747,8.65,12.55
2022-06-28,2,0,25.1,137.7,11.36,759,8.75,5.38
2022-06-28,2,0.5,22.9,155.7,13.36,772,8.62,3.81
2022-06-28,3,0,25.4,152.5,12.4,776,8.63,6.69
2022-06-28,3,0.5,25,146.8,12.1,777,8.6,7
2022-06-28,3,0.75,24.5,137.4,11.43,787,8.47,19.24
2022-06-28,3,1,23.8,135.5,11.4,841,8.19,5.99
2022-06-28,4,0,25,141.8,11.73,758,8.73,20.28
2022-06-28,4,0.5,24.9,138.7,11.46,760,8.7,6.43
2022-06-28,5,0,24.8,118.7,9.83,731,8.81,6.12
2022-06-28,5,0.5,24.8,119,9.85,731,8.81,6.33
2022-06-28,5,0.75,24.8,119.2,9.87,731,8.81,6.73
2022-06-28,5,1,24.8,119.3,9.88,731,8.81,7.25
2022-06-28,5,1.25,24.7,120.1,9.96,730,8.82,7.44
2022-06-28,5,1.5,24.7,120.3,9.97,729,8.82,7.37
2022-06-28,5,1.75,24.6,121.4,10.1,726,8.84,7.48
2022-06-28,5,2,24.5,122.8,10.21,725,8.85,7.65
2022-06-28,5,2.25,24.5,122.6,10.22,725,8.85,7.5
2022-06-28,5,2.5,24.4,122.6,10.22,725,8.84,7.19
2022-06-28,6,0,24.6,207,17.19,688,9.42,4.05
2022-06-28,6,0.5,24.4,213.5,17.81,684,9.48,5.24
2022-06-28,6,0.75,23.9,190.7,16.06,675,9.47,1.67
2022-06-28,6,1,23.7,172.5,14.58,676,9.42,1.47
2022-06-28,7,0,24.9,147.7,12.18,737,8.9,4.02
2022-06-28,7,0.5,24.9,150.3,12.4,736,8.9,4.21
2022-06-28,7,0.75,24.9,157.2,12.98,734,8.92,4.88
2022-06-28,7,1,24.6,157.8,13.1,732,8.93,5.13
2022-06-28,7,1.25,24.3,152.6,12.76,730,8.89,4.91
2022-06-28,7,1.5,23.9,138.6,11.68,734,8.83,4.31
2022-06-28,8,1,26.2,175.7,14.18,727,8.86,14.9
2022-06-28,8,0,23.6,137.4,11.63,718,8.92,5.72
2022-07-01,1,0,25.3,115.9,9.5,745,8.79,8.71
2022-07-01,1,0.5,25.3,116.3,9.53,745,8.79,9.28
2022-07-01,1,0.75,25.3,116.4,9.54,745,8.79,9.06
2022-07-01,1,1,25.3,116.4,9.55,745,8.79,9.3
2022-07-01,1,1.25,25.3,116.4,9.55,745,8.79,8.92
2022-07-01,1,1.5,25.3,116.5,9.55,745,8.79,9.15
2022-07-01,1,1.75,25.3,116.5,9.56,745,8.79,9.61
2022-07-01,1,2,25.3,116.5,9.56,744,8.79,9.63
2022-07-01,1,2.25,25.3,116.5,9.56,744,8.79,9.49
2022-07-01,1,2.5,25.2,116.8,9.59,744,8.79,9.27
2022-07-01,1,2.75,25.2,117.4,9.65,744,8.79,10
2022-07-01,1,3,25.1,117.4,9.66,744,8.79,10.41
2022-07-01,2,0,24.6,109.1,9.06,770,8.45,5.71
2022-07-01,2,0.5,24.6,109.2,9.07,773,8.35,10.1
2022-07-01,3,0,25.4,127.1,10.39,765,8.67,7.14
2022-07-01,3,0.5,25.5,133.1,10.87,765,8.7,6.21
2022-07-01,3,0.75,25.4,130.3,10.66,765,8.69,7.46
2022-07-01,3,1,25.4,123.8,10.13,766,8.65,8
2022-07-01,4,0,25.4,127.1,10.39,765,8.67,7.14
2022-07-01,4,0.5,25.5,133.1,10.87,765,8.7,6.21
2022-07-01,4,0.75,25.4,130.3,10.66,765,8.69,7.4
2022-07-01,4,1,25.4,123.8,10.13,766,8.65,8
2022-07-01,5,0,25.4,122.3,10.01,728,8.92,6.5
2022-07-01,5,0.5,25.4,122.5,10.03,729,8.92,6.73
2022-07-01,5,0.75,25.4,122.6,10.04,729,8.92,6.57
2022-07-01,5,1,25.4,122.8,10.05,729,8.92,6.4
2022-07-01,5,1.25,25.4,122.8,10.05,729,8.92,6.52
2022-07-01,5,1.5,25.4,122.2,10,729,8.91,6.69
2022-07-01,5,1.75,25.4,122.3,10.01,730,8.91,6.81
2022-07-01,5,2,25.4,121.6,9.95,731,8.9,7.43
2022-07-01,5,2.25,25.4,120.9,9.9,731,8.89,7.61
2022-07-01,5,2.5,25.3,120.5,9.87,731,8.89,8.4
2022-07-01,5,2.75,25.3,120.1,9.84,731,8.88,8.49
2022-07-01,6,0,25.2,151.4,12.47,702,9.11,4.21
2022-07-01,6,0.5,25.2,152.9,12.57,702,9.12,4.27
2022-07-01,6,0.75,25.2,156,12.82,702,9.13,3.9
2022-07-01,6,1,25.2,154.6,12.7,702,9.12,4.48
2022-07-01,6,1.25,25.1,149.1,12.25,703,9.09,4.18
2022-07-01,6,1.5,25.1,136.7,11.22,706,9.02,4.34
2022-07-01,7,0,25.5,151.1,12.34,718,8.95,3.72
2022-07-01,7,0.5,25.6,150.1,12.25,718,8.94,3.99
2022-07-01,7,0.75,25.5,153.8,12.57,720,8.96,4.31
2022-07-01,7,1,25.5,154.8,12.66,720,8.96,4.4
2022-07-01,7,1.25,25.4,157.6,12.89,720,8.97,4.56
2022-07-01,7,1.5,25.4,135.5,11.08,731,8.76,4.49
2022-07-01,8,0,25.2,114.8,9.43,732,8.85,5.56
2022-07-01,8,0.5,25.2,115,9.45,732,8.86,5.49
2022-07-01,8,0.75,25.2,115.2,9.46,731,8.86,5.22
2022-07-01,8,1,25.2,116,9.52,731,8.87,6.03
2022-07-05,1,0,26.3,133.6,10.77,736,8.89,5.62
