latitude,longitude,comments,rake,rake2
43.05177405,-89.41903227,,2,2
43.05240437,-89.41902632,,1,1
43.05303469,-89.41902037,,1,1
43.05366501,-89.41901442,Temporary Obstacle,10,10
43.05429533,-89.41900847,,0,0
43.05492564,-89.41900252,Temporary Obstacle,10,10
43.05555596,-89.41899657,,1,1
43.05618628,-89.41899062,,3,3
43.0568166,-89.41898467,,2,2
43.05019608,-89.41861741,,2,2
43.05082639,-89.41861146,,3,3
43.05145671,-89.4186055,,2,2
43.05208703,-89.41859955,,2,2
43.05271735,-89.4185936,,2,2
43.05334767,-89.41858764,,2,2
43.05397798,-89.41858169,,2,2
43.0546083,-89.41857573,,2,2
43.05523862,-89.41856978,,1,1
43.05586894,-89.41856382,,2,2
43.05649925,-89.41855787,,3,3
43.05712957,-89.41855191,Non-Navigable (Plants),3,8
43.05050905,-89.4181847,,3,3
43.05113937,-89.41817874,,2,2
43.05176969,-89.41817278,,1,1
43.0524,-89.41816683,,1,1
43.05303032,-89.41816087,,0,0
43.05366064,-89.41815491,,1,1
43.05429096,-89.41814895,,1,1
43.05492128,-89.41814299,,1,1
43.05555159,-89.41813703,,1,1
43.05618191,-89.41813107,,3,3
43.05681223,-89.41812511,,2,2
43.05744255,-89.41811915,No Information,10,10
43.05807286,-89.41811319,Non-Navigable (Swim Area),10,10
43.05019171,-89.41775795,,0,0
43.05082202,-89.41775199,,3,3
43.05145234,-89.41774602,,1,1
43.05208266,-89.41774006,,2,2
43.05271298,-89.4177341,,1,1
43.0533433,-89.41772813,,3,3
43.05397361,-89.41772217,,1,1
43.05460393,-89.41771621,,1,1
43.05523425,-89.41771024,,1,1
43.05586457,-89.41770428,,1,1
43.05649488,-89.41769832,,2,2
43.0571252,-89.41769235,,2,2
43.05775552,-89.41768639,No Information,10,10
43.05838584,-89.41768042,No Information,10,10
43.05901615,-89.41767446,No Information,10,10
43.05050468,-89.41732523,,0,0
43.051135,-89.41731927,,3,3
43.05176531,-89.4173133,,2,2
43.05239563,-89.41730733,,2,2
43.05302595,-89.41730136,,0,0
43.05365627,-89.4172954,,1,1
43.05428658,-89.41728943,,2,2
43.0549169,-89.41728346,,0,0
43.05554722,-89.41727749,,1,1
43.05617754,-89.41727152,,3,3
43.05680786,-89.41726556,,3,3
43.05743817,-89.41725959,,2,2
43.05806849,-89.41725362,No Information,10,10
43.05018733,-89.41689848,,3,3
43.05081765,-89.41689251,,2,2
43.05144797,-89.41688654,,2,2
43.05207828,-89.41688057,,1,1
43.0527086,-89.4168746,,3,3
43.05333892,-89.41686863,,0,0
43.05396924,-89.41686265,,0,0
43.05459955,-89.41685668,,0,0
43.05522987,-89.41685071,,1,1
43.05586019,-89.41684474,,0,0
43.05649051,-89.41683876,,3,3
43.05712082,-89.41683279,,3,3
43.05775114,-89.41682682,No Information,10,10
43.05901178,-89.41681487,No Information,10,10
43.0505003,-89.41646577,,1,1
43.05113062,-89.41645979,,3,3
43.05176093,-89.41645381,,3,3
43.05239125,-89.41644784,,2,2
43.05302157,-89.41644186,,2,2
43.05365189,-89.41643589,,1,1
43.05428221,-89.41642991,,1,1
43.05491252,-89.41642393,,1,1
43.05554284,-89.41641795,,1,1
43.05617316,-89.41641198,,1,1
43.05680347,-89.416406,,3,3
43.05743379,-89.41640002,,3,3
43.05806411,-89.41639404,Non-Navigable (Plants),3,8
43.05081327,-89.41603304,,1,1
43.05144358,-89.41602706,,3,3
43.0520739,-89.41602108,,3,3
43.05270422,-89.4160151,,1,1
43.05333454,-89.41600912,,1,1
43.05396485,-89.41600314,,0,0
43.05459517,-89.41599716,,0,0
43.05522549,-89.41599118,,0,0
43.05585581,-89.41598519,,0,0
43.05648612,-89.41597921,,3,3
43.05711644,-89.41597323,,3,3
43.05774676,-89.41596725,,3,3
43.05900739,-89.41595528,No Information,10,10
43.05049591,-89.4156063,,2,2
43.05112623,-89.41560031,,3,3
43.05175655,-89.41559433,,3,3
43.05238687,-89.41558834,,3,3
43.05301718,-89.41558236,,1,1
43.0536475,-89.41557637,,2,2
43.05427782,-89.41557039,,1,1
43.05490814,-89.4155644,,1,1
43.05553845,-89.41555842,,1,1
43.05616877,-89.41555243,,0,0
43.05679909,-89.41554644,,3,3
43.05742941,-89.41554046,,2,2
43.05080888,-89.41517357,,3,3
43.05143919,-89.41516758,,2,2
43.05206951,-89.41516159,,3,3
43.05269983,-89.4151556,,2,2
43.05333015,-89.41514961,,3,3
43.05396046,-89.41514362,,1,1
43.05459078,-89.41513763,,0,0
43.0552211,-89.41513164,,0,0
43.05585142,-89.41512565,,1,1
43.05648173,-89.41511966,,1,1
43.05711205,-89.41511367,,3,3
43.05774237,-89.41510768,,2,2
43.059003,-89.4150957,No Information,10,10
43.05049152,-89.41474683,,3,3
43.05112184,-89.41474084,,3,3
43.05175216,-89.41473484,,2,2
43.05238247,-89.41472885,,3,3
43.05301279,-89.41472286,,3,3
43.05364311,-89.41471686,,2,2
43.05427343,-89.41471087,,1,1
43.05490374,-89.41470487,,0,0
43.05553406,-89.41469888,,0,0
43.05616438,-89.41469288,,2,2
43.0567947,-89.41468689,,3,3
43.05742501,-89.41468089,,3,3
43.05080448,-89.4143141,Non-Navigable (Plants),3,8
43.0514348,-89.4143081,Non-Navigable (Plants),3,8
43.05206512,-89.4143021,,2,2
43.05269543,-89.41429611,,3,3
43.05332575,-89.41429011,,3,3
43.05395607,-89.41428411,,1,1
43.05458639,-89.41427811,,0,0
43.0552167,-89.41427211,,0,0
43.05584702,-89.41426611,,1,1
43.05647734,-89.41426011,,3,3
43.05710765,-89.41425411,,3,3
43.05773797,-89.41424811,,2,2
43.05962892,-89.41423011,No Information,10,10
43.05048712,-89.41388736,,3,3
43.05111744,-89.41388136,Non-Navigable (Plants),3,8
43.05174776,-89.41387536,,3,3
43.05237807,-89.41386936,,2,2
43.05300839,-89.41386335,,2,2
43.05363871,-89.41385735,,3,3
43.05426903,-89.41385135,,2,2
43.05489934,-89.41384535,,1,1
43.05552966,-89.41383934,,0,0
43.05615998,-89.41383334,,3,3
43.0567903,-89.41382733,,2,2
43.05742061,-89.41382133,,3,3
43.05080008,-89.41345463,Non-Navigable (Plants),3,8
43.0514304,-89.41344862,,3,3
43.05206071,-89.41344261,,3,3
43.05269103,-89.41343661,,2,2
43.05332135,-89.4134306,,3,3
43.05395167,-89.41342459,,2,2
43.05458198,-89.41341859,,1,1
43.0552123,-89.41341258,,0,0
43.05584262,-89.41340657,,0,0
43.05647294,-89.41340056,,3,3
43.05710325,-89.41339455,,3,3
43.05773357,-89.41338854,,2,2
43.0589942,-89.41337653,No Information,10,10
43.05048272,-89.4130279,Non-Navigable (Plants),3,8
43.05111303,-89.41302189,Non-Navigable (Plants),3,8
43.05174335,-89.41301588,,3,3
43.05237367,-89.41300986,,3,3
43.05300399,-89.41300385,,3,3
43.0536343,-89.41299784,,3,3
43.05426462,-89.41299183,,2,2
43.05489494,-89.41298582,,1,1
43.05552526,-89.41297981,,0,0
43.05615557,-89.41297379,,3,3
43.05678589,-89.41296778,,3,3
43.05741621,-89.41296177,,3,3
43.05079567,-89.41259516,Non-Navigable (Plants),3,8
43.05142599,-89.41258914,,3,3
43.05205631,-89.41258313,,3,3
43.05268662,-89.41257711,,3,3
43.05331694,-89.41257109,,3,3
43.05394726,-89.41256508,,3,3
43.05457757,-89.41255906,,2,2
43.05520789,-89.41255305,,1,1
43.05583821,-89.41254703,,3,3
43.05646853,-89.41254101,,3,3
43.05709884,-89.41253499,,3,3
43.05772916,-89.41252898,,2,2
43.05898979,-89.41251694,No Information,10,10
43.05047831,-89.41216843,Non-Navigable (Plants),3,8
43.05110862,-89.41216241,Non-Navigable (Plants),3,8
43.05173894,-89.41215639,Non-Navigable (Plants),3,8
43.05236926,-89.41215037,Non-Navigable (Plants),3,8
43.05299958,-89.41214435,,2,2
43.05362989,-89.41213833,,3,3
43.05426021,-89.41213231,,3,3
43.05489053,-89.41212629,,3,3
43.05552084,-89.41212027,,3,3
43.05615116,-89.41211425,,3,3
43.05678148,-89.41210823,,3,3
43.05741179,-89.4121022,,2,2
43.05079126,-89.41173569,Non-Navigable (Plants),3,8
43.05142157,-89.41172966,Non-Navigable (Plants),3,8
43.05205189,-89.41172364,,3,3
43.05268221,-89.41171761,,3,3
43.05331253,-89.41171159,,3,3
43.05394284,-89.41170556,,3,3
43.05457316,-89.41169954,,3,3
43.05520348,-89.41169351,,3,3
43.05583379,-89.41168749,,3,3
43.05646411,-89.41168146,,3,3
43.05709443,-89.41167544,,2,2
43.05772474,-89.41166941,Non-Navigable (Swim Area),10,10
43.05047389,-89.41130897,Non-Navigable (Plants),3,8
43.05110421,-89.41130294,Non-Navigable (Plants),3,8
43.05173452,-89.41129691,Non-Navigable (Plants),3,8
43.05236484,-89.41129088,Non-Navigable (Plants),3,8
43.05299516,-89.41128485,,3,3
43.05362547,-89.41127882,,3,3
43.05425579,-89.41127279,Non-Navigable (Plants),3,8
43.05488611,-89.41126676,Non-Navigable (Plants),3,8
43.05551642,-89.41126073,,3,3
43.05614674,-89.4112547,,3,3
43.05677706,-89.41124867,Non-Navigable (Plants),3,8
43.05740738,-89.41124264,Non-Navigable (Plants),3,8
43.05078684,-89.41087622,Non-Navigable (Plants),3,8
43.05141715,-89.41087018,Non-Navigable (Plants),3,8
43.05204747,-89.41086415,Non-Navigable (Plants),3,8
43.05267779,-89.41085812,Non-Navigable (Plants),3,8
43.0533081,-89.41085208,Non-Navigable (Plants),3,8
43.05393842,-89.41084605,Non-Navigable (Plants),3,8
43.05456874,-89.41084001,Non-Navigable (Plants),3,8
43.05519905,-89.41083398,Non-Navigable (Plants),3,8
43.05582937,-89.41082795,,3,3
43.05645969,-89.41082191,Non-Navigable (Plants),3,8
43.05709001,-89.41081588,Non-Navigable (Plants),3,8
43.0517301,-89.41043742,Non-Navigable (Plants),3,8
43.05236042,-89.41043139,Non-Navigable (Plants),3,8
43.05299073,-89.41042535,Non-Navigable (Plants),3,8
43.05362105,-89.41041931,,3,3
43.05425137,-89.41041327,Non-Navigable (Plants),3,8
43.05488168,-89.41040723,Non-Navigable (Plants),3,8
43.055512,-89.4104012,,3,3
43.05614232,-89.41039516,Non-Navigable (Plants),3,8
43.05677263,-89.41038912,Non-Navigable (Plants),3,8
43.05740295,-89.41038308,Non-Navigable (Plants),3,8
43.05204304,-89.41000466,Non-Navigable (Plants),3,8
43.05267336,-89.40999862,Non-Navigable (Plants),3,8
43.05330368,-89.40999258,,3,3
43.05393399,-89.40998653,,2,2
43.05456431,-89.40998049,,2,2
43.05519463,-89.40997445,,3,3
43.05582494,-89.40996841,Non-Navigable (Plants),3,8
43.05645526,-89.40996236,Non-Navigable (Plants),3,8
43.05708558,-89.40995632,Non-Navigable (Plants),3,8
43.05550757,-89.40954166,Non-Navigable (Plants),3,8
43.05613788,-89.40953561,Non-Navigable (Plants),3,8
43.0567682,-89.40952956,Non-Navigable (Plants),3,8
43.05739852,-89.40952352,Non-Navigable (Plants),3,8
43.05582051,-89.40910887,Non-Navigable (Plants),3,8
43.05645082,-89.40910281,Non-Navigable (Plants),3,8
43.05708114,-89.40909676,No Information,10,10
43.05771146,-89.40909071,No Information,10,10
43.05739408,-89.40866395,No Information,10,10
43.05770702,-89.40823114,No Information,10,10
43.05801995,-89.40779833,No Information,10,10
43.05770257,-89.40737157,No Information,10,10
43.05738518,-89.40694483,No Information,10,10
43.05769811,-89.40651201,No Information,10,10
