x,y,depth
566481.0557354548,286392.01007982105,0.17632236148179373
566486.0557354548,286392.01007982105,0.18863233306930804
566491.0557354548,286392.01007982105,0.19991889442603628
566496.0557354548,286392.01007982105,0.210177740212789
566501.0557354548,286392.01007982105,0.21940767004119832
566506.0557354548,286392.01007982105,0.22760998764960072
566511.0557354548,286392.01007982105,0.2347872932316778
566516.0557354548,286392.01007982105,0.24094216278848857
566521.0557354548,286392.01007982105,0.24607687877697293
566526.0557354548,286392.01007982105,0.25019452322173596
566531.0557354548,286392.01007982105,0.25330038784225994
566536.0557354548,286392.01007982105,0.25540286184115735
566541.0557354548,286392.01007982105,0.2565137988816528
566546.0557354548,286392.01007982105,0.25664864208783744
566551.0557354548,286392.01007982105,0.2558264974649018
566556.0557354548,286392.01007982105,0.2540702313671742
