sampledate,site,Depth,Temp_C,pH,DO_mgL,DO_perc,Conductivity,dic
2023-02-10,8,0,1.6,8.75,20.04,143.7,803,51.87
2023-02-10,5,0,1.9,8.55,20.35,147.4,783,53.5
2023-02-10,2,0,0.6,8.33,22.3,155.6,946,54.04
2023-03-23,8,0,6.7,8.44,15.62,128.3,923,54.93
2023-02-10,7,0,1.3,7.65,13.03,92.7,806,55.09
2023-02-10,1,0,1.5,8.61,21.64,153.7,776,55.82
2023-04-07,4,0,7.3,8.6,12.9,107.4,820,57.01
2022-06-01,1,0.5,20.8,8.62,9.37,104.9,811,NA
2022-06-01,1,0.75,20.8,8.63,9.41,105.4,811,NA
2022-06-01,1,1,20.8,8.64,9.44,105.8,811,NA
2022-06-01,1,1.25,20.8,8.63,9.47,106.1,811,NA
2022-06-01,1,1.5,20.8,8.63,9.45,105.8,811,NA
2022-06-01,1,1.75,20.8,8.63,9.46,106,811,NA
2022-06-01,1,2,20.8,8.63,9.48,106.1,811,NA
2022-06-01,1,2.25,20.8,8.63,9.45,105.8,811,NA
2022-06-01,1,2.5,20.8,8.63,9.49,106.3,811,NA
2022-06-01,1,2.75,20.8,8.63,9.48,106.3,811,NA
2022-06-01,1,3,20.8,8.62,9.34,104.5,811,NA
2022-06-01,1,3.25,20.7,8.59,9.11,102.4,811,NA
2022-06-01,1,3.5,19.9,8.12,4.48,49.1,827,NA
2022-06-06,1,0,21.1,8.6,10.06,113.4,804,NA
2022-06-06,1,0.5,21.1,8.6,10.07,113.5,804,NA
2022-06-06,1,0.75,21.1,8.6,10.08,113.5,804,NA
2022-06-06,1,1,21.1,8.59,10.07,113.3,804,NA
2022-06-06,1,1.25,21,8.59,10.05,113,804,NA
2022-06-06,1,1.5,21,8.59,10.02,112.5,804,NA
2022-06-06,1,1.75,21,8.58,10.01,112.4,805,NA
2022-06-06,1,2,20.9,8.58,9.97,111.9,805,NA
2022-06-06,1,2.25,20.9,8.57,9.91,111.2,805,NA
2022-06-06,1,2.5,20.9,8.5,9.86,110.7,805,NA
2022-06-06,1,2.75,20.8,8.55,9.66,108.5,805,NA
2022-06-06,1,3,20.1,7.98,5.82,66.2,834,NA
2022-06-06,1,3.25,19.5,7.89,6.89,73.5,880,NA
2022-06-09,1,0,20.3,8.47,8.8,97.7,800,NA
2022-06-09,1,0.5,20.3,8.47,8.81,97.7,800,NA
2022-06-09,1,0.75,20.3,8.47,8.83,97.9,800,NA
2022-06-09,1,1,20.3,8.48,8.89,98.5,800,NA
2022-06-09,1,1.25,20.2,8.49,8.96,99.2,800,NA
2022-06-09,1,1.5,20.2,8.49,9.01,99.6,800,NA
2022-06-09,1,1.75,20.2,8.5,9.03,99.8,800,NA
2022-06-09,1,2,20.1,8.5,9.06,100,799,NA
2022-06-09,1,2.25,20,8.5,9.08,100.1,797,NA
2022-06-09,1,2.5,20,8.5,9.06,99.8,797,NA
2022-06-09,1,2.75,20,8.5,9.04,99.6,796,NA
2022-06-09,1,3,19.9,8.5,9.02,99.3,796,NA
2022-06-09,1,3.25,19.9,8.48,8.77,96.3,794,NA
2022-06-09,1,3.5,19.8,8.47,8.64,94.8,794,NA
2022-06-13,1,0.5,21.2,8.66,11.06,124.7,785,NA
2022-06-13,1,0.75,21.1,8.66,11.08,124.8,785,NA
2022-06-13,1,1,21.1,8.66,11.08,124.9,785,NA
2022-06-13,1,1.25,21,8.66,11.08,124.7,785,NA
2022-06-13,1,1.5,21,8.66,11.06,124.4,785,NA
2022-06-13,1,1.75,20.9,8.66,10.99,123.2,785,NA
2022-06-13,1,2,20.8,8.65,10.9,122.3,785,NA
2022-06-13,1,2.25,20.7,8.62,10.53,117.8,785,NA
2022-06-13,1,2.5,20.5,8.49,9.32,104.2,788,NA
2022-06-13,1,2.75,20.3,8.2,6.37,70.7,791,NA
2022-06-13,1,3,20.2,8.07,5.3,58.8,789,NA
2022-06-13,1,3.25,19.9,7.93,5.37,59,777,NA
2022-06-16,1,0,23.7,8.67,9.81,116.2,773,NA
2022-06-16,1,0.5,23.7,8.67,9.84,116.5,773,NA
2022-06-16,1,0.75,23.7,8.66,9.81,116.2,773,NA
2022-06-16,1,1,23.7,8.66,9.85,116.6,773,NA
2022-06-16,1,1.25,23.7,8.66,9.77,115.7,773,NA
2022-06-16,1,1.5,23.7,8.65,9.73,115.1,773,NA
2022-06-16,1,1.75,23.7,8.65,9.71,115,773,NA
2022-06-16,1,2,23.7,8.65,9.74,115.3,773,NA
2022-06-16,1,2.25,23.7,8.65,9.69,114.7,772,NA
2022-06-16,1,2.5,23.7,8.64,9.6,113.6,773,NA
2022-06-16,1,2.75,23.6,8.63,9.51,112.5,773,NA
